name,ESLOC,SLOC,size_label,top_k_selected_languages,top_k_languages,tag,link
name-dataset,589,936,small,"['Python', 'Shell']","['Python', 'License', 'Markdown']",,https://github.com/philipperemy/name-dataset
cowsay,717,2241,small,"['JavaScript', 'TypeScript Typings', 'HTML']","['JSON', 'JavaScript', 'Markdown']",v1.5.0,https://github.com/piuccio/cowsay
final-db-proj,762,905,small,"['Python', 'SQL']","['Python', 'SQL', 'gitignore']",,https://github.com/ghazalrafiei/Final-DB-Project
pyrandwalk,1835,2336,medium,"['Jupyter', 'Python', 'Shell']","['Jupyter', 'Python', 'Markdown']",v1.1,https://github.com/sadrasabouri/pyrandwalk
scc,11202,26187,medium,"['Go', 'Java', 'Shell']","['JSON', 'Go', 'Java']",v3.2.0,https://github.com/boyter/scc
Jikjik,17554,17839,medium,"['C++ Header', 'C Header', 'Python']","['C++', 'C', 'Python']",,https://github.com/ghazalrafiei/Jikjik
pyzmq,21057,25985,medium,"['Python', 'C++ Header', 'Cython']","['Python', 'Markdown', 'Cython']",v25.1.2,https://github.com/zeromq/pyzmq
charts,25866,30184,medium,"['Swift', 'Objective C', 'C Header']","['Swift', 'Objective', 'Markdown']",v4.1.0,https://github.com/danielgindi/Charts
cloc,28667,50248,medium,"['Perl', 'C Header', 'R']","['Perl', 'YAML', 'Markdown']",v1.98,https://github.com/AlDanial/cloc
ohmyzsh,28854,65993,medium,"['Zsh', 'BASH', 'Shell']","['Zsh', 'JSON', 'Markdown']",,https://github.com/ohmyzsh/ohmyzsh
htop,31689,33584,medium,"['C', 'C Header', 'Lua']","['C', 'C', 'Autoconf']",3.2.2,https://github.com/htop-dev/htop
localsend,38339,55663,medium,"['Dart', 'C++', 'CMake']","['Dart', 'JSON', 'YAML']",v1.9.1,https://github.com/localsend/localsend
libzmq,59709,81723,large,"['C++', 'C++ Header', 'C']","['C++', 'C++', 'AsciiDoc']",v4.3.5,https://github.com/zeromq/libzmq
amn4j,66664,67453,large,"['CSV', 'Java']","['CSV', 'Java', 'Markdown']",V0.0,https://github.com/Aatmaj-Zephyr/ANN4j
seaborn,71201,104154,large,"['Python', 'Jupyter', 'CSS']","['Python', 'SVG', 'Jupyter']",v0.9.1.rc0,https://github.com/mwaskom/seaborn
llama.cpp,77204,111869,large,"['C++', 'C++ Header', 'C']","['C++', 'C++', 'C']",master-fff0e0e,https://github.com/ggerganov/llama.cpp
pyart,79890,83241,large,"['Python', 'Jupyter', 'MATLAB']","['Python', 'Jupyter', 'Markdown']",v6.1,https://github.com/sepandhaghighi/art
matplotlib,272720,653651,very large,"['Python', 'C Header', 'C++']","['SVG', 'Python', 'ReStructuredText']",v3.8.2,https://github.com/matplotlib/matplotlib
numpy,430405,613577,very large,"['C', 'Python', 'C Header']","['Python', 'C', 'ReStructuredText']",with_maskna,https://github.com/numpy/numpy
vim,443678,1078391,very large,"['C', 'C Header', 'Shell']","['C', 'Vim', 'Plain']",v9.0.2160,https://github.com/vim/vim
neovim,489465,971249,very large,"['C', 'Lua', 'C Header']","['Vim', 'C', 'Lua']",v0.9.4,https://github.com/neovim/neovim
tgdesktop,537935,557948,very large,"['C++', 'C Header', 'Objective C++']","['C++', 'C', 'Objective']",v4.9.9,https://github.com/telegramdesktop/tdesktop
bazel,1002144,1383139,huge,"['Java', 'Shell', 'Protocol Buffers']","['Java', 'Plain', 'Shell']",8.0.0-pre.20231030.2,https://github.com/bazelbuild/bazel
vscode,1029728,1590687,huge,"['TypeScript', 'JavaScript', 'TypeScript Typings']","['TypeScript', 'JSON', 'JavaScript']",vsda-v1.39.1,https://github.com/microsoft/vscode
huggingface,1094537,1248527,huge,"['Python', 'Shell', 'Jupyter']","['Python', 'Markdown', 'JSON']",v4.9.2,https://github.com/huggingface/transformers
nocodb,1465604,1688932,huge,"['SQL', 'TypeScript', 'Vue']","['SQL', 'TypeScript', 'JSON']",v0.9.41,https://github.com/nocodb/nocodb
pytorch,2360536,2658365,huge,"['Python', 'C++', 'C Header']","['Python', 'C++', 'C']",v2.2.0-rc5,https://github.com/pytorch/pytorch
k8s,4140054,5682873,huge,"['Go', 'Shell', 'Protocol Buffers']","['Go', 'JSON', 'YAML']",v1.9.9-beta.0,https://github.com/kubernetes/kubernetes
mongodb,5388524,10996204,huge,"['C++', 'C Header', 'C++ Header']","['Plain', 'C++', 'C']",show,https://github.com/mongodb/mongo
